Site_ID,Site_Name,Latitude,Longitude,Project,COUNT,d2H,d18O
NLA06608-2074,J T Budd Pond,30.43252366,-84.54449705,EPA Lakes,1,-6.559076515,-1.170122042
NLA06608-2076,Spring Lake,35.15138649,-93.42662016,EPA Lakes,1,-19.80309652,-3.088180155
NLA06608-2078,Lotto Lake,46.25503439,-88.08997243,EPA Lakes,1,-35.38837925,-1.508828096
NLA06608-2082,Emigrant Lake,42.15139597,-122.6008217,EPA Lakes,1,-79.23346652,-9.62513756
NLA06608-2086,Jobs Pond,44.76204445,-71.95362413,EPA Lakes,1,-70.82051924,-9.806411986
NLA06608-2087,Nutleg East,45.55715378,-97.41707065,EPA Lakes,1,-30.06497053,-2.556299622
NLA06608-2091,R E 'Bob' Woodruff Reservoir,32.35269226,-86.4904329,EPA Lakes,1,-17.76660127,-3.052466429
NLA06608-2092,Horseshoe Lake,32.71215655,-91.70157522,EPA Lakes,1,3.394775215,1.799187348
NLA06608-2094,Musselman Cattle Company Lake Number 2,29.09294251,-97.08741125,EPA Lakes,1,-27.9074057,-4.306354104
NLA06608-2095,Big Sandy Reservoir,42.2494978,-109.4410083,EPA Lakes,1,-114.5501491,-14.15263098
NLA06608-2103,Cottonwood,44.8372406,-99.90500153,EPA Lakes,1,-25.09189852,-1.194998685
NLA06608-2114,Lake Louise,39.68531765,-79.23033272,EPA Lakes,1,-54.40488724,-7.917366136
NLA06608-2117,Lake Apopka,28.62097337,-81.62199477,EPA Lakes,1,10.48568276,2.143607049
NLA06608-2120,JAMES LAKE,32.59300712,-98.31569017,EPA Lakes,1,-15.6351251,-1.908983792
NLA06608-2123,Brush Lake,44.32794024,-97.1167168,EPA Lakes,1,-30.92942486,-3.096119126
NLA06608-2131,Rath Lake,45.89624924,-99.10161914,EPA Lakes,1,-38.82825559,-4.117812248
NLA06608-2134,Horseshoe,45.89266323,-122.7435687,EPA Lakes,1,-70.72123117,-9.264880729
NLA06608-2135,Lake Cochrane,44.70838784,-96.47788918,EPA Lakes,1,-25.66668652,-1.770124101
NLA06608-2152,Pomme de Terre Lake,37.85925631,-93.32597024,EPA Lakes,1,-26.97658171,-4.18065136
NLA06608-2154,L Pond,31.26784195,-86.94775581,EPA Lakes,1,10.68929808,3.030537427
NLA06608-2155,Fox Lake,41.627105,-85.02364851,EPA Lakes,1,-31.31932637,-3.068244449
NLA06608-2162,Yawgoo Pond,41.51134268,-71.57318015,EPA Lakes,1,-32.27558086,-4.589848561
NLA06608-2170,Bean Lake,47.30587695,-112.4310378,EPA Lakes,1,-53.8962224,-2.534615631
NLA06608-2177,Bull Lake,48.671943,-114.7318229,EPA Lakes,1,-81.45721108,-7.099253377
NLA06608-2185,Topaz Lake,38.66086617,-119.5263528,EPA Lakes,1,-103.7672291,-13.16430997
NLA06608-2187,Holt Lake,33.45373979,-87.35441691,EPA Lakes,1,-16.44818853,-2.860927818
NLA06608-2193,Island Lake,46.41950629,-124.0354961,EPA Lakes,1,-17.04057338,-0.37931162
NLA06608-2196,Lazy Lake,39.29388434,-86.46070725,EPA Lakes,1,-23.81350996,-2.868406971
NLA06608-2217,Knoll Lake,34.4202345,-111.0896969,EPA Lakes,1,-55.65939053,-7.447887386
NLA06608-2219,Lake Latonka,41.29977616,-86.40845658,EPA Lakes,1,-27.09078133,-2.572747203
NLA06608-2241,Sacheen Lake,48.15402125,-117.3189991,EPA Lakes,1,-100.5927711,-12.62319034
NLA06608-2250,Lewis Lake,44.3017541,-110.6285367,EPA Lakes,1,-121.1513703,-15.64913393
NLA06608-2253,McColley Pond,38.96688176,-75.50048849,EPA Lakes,1,-35.37607068,-5.066073173
NLA06608-2257,Lake Koeneman,47.40930776,-122.7843969,EPA Lakes,1,-58.44634284,-7.164520343
NLA06608-2266,Muddy Guard Reservoir Number 2,44.18421481,-106.7589307,EPA Lakes,1,-118.3092953,-15.15817898
NLA06608-2267,Tamarack Lake,41.51785892,-85.30057505,EPA Lakes,1,-45.24750774,-6.329215972
NLA06608-2283,Big Chapman,41.28362106,-85.78969754,EPA Lakes,1,-33.27667689,-3.990676895
NLA06608-2305,Shepherd Lake,48.18443003,-116.5279847,EPA Lakes,1,-77.88145325,-7.150278389
NLA06608-2322,Birch Creek Reservoir Number 2,41.5055322,-111.3273337,EPA Lakes,1,-113.8652766,-13.58216134
NLA06608-2332,Harlan County Lake,40.03137931,-99.30406582,EPA Lakes,1,-37.07214341,-4.42701031
NLA06608-2333,Concord Pond,38.64382658,-75.54742044,EPA Lakes,1,-35.69041545,-5.807377468
NLA06608-2345,Huntington North Reservoir,39.34812677,-110.9481455,EPA Lakes,1,-86.18211303,-9.440630005
NLA06608-2354,Gorton Pond,41.70544844,-71.45889451,EPA Lakes,1,-34.36029599,-4.734221223
NLA06608-2372,Tsaile Lake,36.27424052,-109.2028896,EPA Lakes,1,-58.66977639,-6.35843748
NLA06608-2379,Nine Mile Reservoir,41.24777405,-105.7229345,EPA Lakes,1,-60.56429618,-4.617169818
NLA06608-2418,Belleville Pond,41.55977063,-71.4790807,EPA Lakes,1,-37.66997222,-5.664787588
NLA06608-2426,Lost Lake,47.6347722,-110.4842973,EPA Lakes,1,-63.36209969,-3.605789102
NLA06608-2429,Currant Creek Reservoir,40.34377825,-111.0606041,EPA Lakes,1,-115.7047016,-15.47245749
NLA06608-2438,Piute Reservoir,42.06680514,-119.5634013,EPA Lakes,1,-46.58583805,-0.837704933
NLA06608-2450,Lake Edna,43.63164375,-124.1790441,EPA Lakes,1,-34.81527872,-4.43980826
NLA06608-2453,Dry Creek Reservoir,41.80418482,-116.2369826,EPA Lakes,1,-93.37147386,-10.36229108
NLA06608-2457,Kolob Reservoir,37.43723737,-113.0490711,EPA Lakes,1,-69.85749352,-7.832691024
NLA06608-2463,Starvation Reservoir,40.17547463,-110.4849079,EPA Lakes,1,-109.8140061,-13.94081453
NLA06608-2477,Nesbitt Lake,37.56936135,-115.2249025,EPA Lakes,1,-62.96023524,-4.235561799
NLA06608-2481,Officers Reservoir,43.98862837,-119.3927622,EPA Lakes,1,-101.280239,-11.4163267
NLA06608-2492,Graham Lake (Historical),34.47617113,-89.66897642,EPA Lakes,1,-15.78971416,-2.877734141
NLA06608-2497,Blanchard Lake,48.00821961,-116.9701212,EPA Lakes,1,-97.03946202,-11.64258606
NLA06608-2507,Morse Reservoir,40.07519519,-86.05550077,EPA Lakes,1,-39.679291,-6.092549735
NLA06608-2513,American Lake,47.13285576,-122.5619208,EPA Lakes,1,-57.72734745,-6.895416248
NLA06608-2523,Barbara Lake,41.34688657,-85.42886396,EPA Lakes,1,-24.50757622,-1.68337683
NLA06608-2524,Lake Bruin,31.95537014,-91.220466,EPA Lakes,1,1.626545797,0.635198394
NLA06608-2565,Lake Hinden,28.32320111,-81.22725223,EPA Lakes,1,16.41227702,3.576962534
NLA06608-2566,Chapman Pond,41.37985994,-71.79479768,EPA Lakes,1,-23.47305082,-2.91838786
NLA06608-2593,Lake Haines,28.09210404,-81.70713268,EPA Lakes,1,19.96485661,3.85682495
NLA06608-2629,Lake Monroe,28.84218233,-81.27307172,EPA Lakes,1,4.600256856,1.164798507
NLA06608-2634,Little Bear Lake,44.94116736,-109.5249202,EPA Lakes,1,-123.9607418,-16.174399
NLA06608-2640,Red Willow Reservoir,40.36170146,-100.7051997,EPA Lakes,1,-46.20886114,-5.864440338
NLA06608-2644,Versailles Lake,39.07938034,-85.24189644,EPA Lakes,1,-17.71529188,-1.115913302
NLA06608-2655,Crouse Reservoir,40.72496185,-109.1845335,EPA Lakes,1,-51.92729323,-2.531368451
NLA06608-2657,Clearwater Lake,28.16663717,-81.83272347,EPA Lakes,1,12.99584439,3.378413615
